0,1
1,0
0,20
20,0
1,2
2,1
2,3
3,2
3,4
4,3
4,12
12,4
4,5
5,4
12,11
11,12
6,11
11,6
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
10,7
7,10
6,15
15,6
5,14
14,5
4,13
13,4
15,16
16,15
13,14
14,13
13,19
19,13
15,18
18,15
16,17
17,16
18,17
17,18
18,19
19,18
19,20
20,19
21,20
20,21
21,22
22,21
22,23
23,22
23,24
24,23
24,25
25,24
25,29
29,25
25,26
26,25
26,19
19,26
26,27
27,26
27,18
18,27
17,31
31,17
27,30
30,27
26,28
28,26
28,29
29,28
29,34
34,29
33,34
34,33
28,33
33,28
31,30
30,31
30,32
32,30
33,35
35,33
32,35
35,32
35,36
36,35
36,37
37,36
37,38
38,37
38,39
39,38
39,40
40,39
35,40
40,35
